product_lemma,source_list,source_version,original_headword,source_rank,modification,original_source_url,license_url,adapter_license
mister,Business Service List,1.2,mister,1,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
goods,Business Service List,1.2,goods,2,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
dividend,Business Service List,1.2,dividend,4,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
portfolio,Business Service List,1.2,portfolio,5,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
inventory,Business Service List,1.2,inventory,7,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
transaction,Business Service List,1.2,transaction,8,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
lease,Business Service List,1.2,lease,10,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
distribution,Business Service List,1.2,distribution,12,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
premium,Business Service List,1.2,premium,13,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
client,Business Service List,1.2,client,14,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
impact,Business Service List,1.2,impact,15,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
authority,Business Service List,1.2,authority,16,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
obtain,Business Service List,1.2,obtain,17,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
publish,Business Service List,1.2,publish,19,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
sometime,Business Service List,1.2,sometime,20,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
economist,Business Service List,1.2,economist,21,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
media,Business Service List,1.2,media,22,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
seller,Business Service List,1.2,seller,24,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
merger,Business Service List,1.2,merger,25,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
audit,Business Service List,1.2,audit,26,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
e-book,Business Service List,1.2,e-book,27,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
consumption,Business Service List,1.2,consumption,28,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
strategic,Business Service List,1.2,strategic,31,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
recession,Business Service List,1.2,recession,33,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
utility,Business Service List,1.2,utility,35,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
productivity,Business Service List,1.2,productivity,36,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
euro,Business Service List,1.2,euro,37,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
overhead,Business Service List,1.2,overhead,38,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
organizational,Business Service List,1.2,organizational,39,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
fiscal,Business Service List,1.2,fiscal,44,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
payable,Business Service List,1.2,payable,45,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
aspect,Business Service List,1.2,aspect,47,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
calculation,Business Service List,1.2,calculation,48,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
coupon,Business Service List,1.2,coupon,52,Selected as LexiTale source evidence; spelling unchanged.,https://www.newgeneralservicelist.com/business-service-list,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
